year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,share_hr,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2013,2630,2129,Becker,.64036125,.023335047,.075674817,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842,87,.11817519,39,73,12,16,11,45,59,14,52,12
2014,2630,2129,Becker,.68713516,.04140301,.10925473,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044,87,.15900035,38,66,11,11,14,42,56,18,66,14
2015,2630,2129,Becker,.67100346,.070445463,.088227257,.15859917,107.11186,198.14806,154.39323,18.19488,1.2147795,87,.13148555,34,55,15,14,19,48,62,33,72,25
2016,2630,2129,Becker,.5972293,.057008378,.11667535,.13129139,110.85967,199.02945,148.94498,31.172316,1.0363114,87,.19536106,41,60,18,29,23,41,40,18,67,5
2017,2630,2129,Becker,.58941388,.067961842,.17518479,.14591774,106.99417,422.51248,153.43526,64.438995,1.1462771,87,.29721862,40,58,10,24,12,42,74,29,75,26
2018,2630,2129,Becker,.53452891,.034399264,.13823685,.13866618,112.02175,225.55208,163.08945,17.97163,1.258368,87,.25861436,42,65,12,25,14,43,62,45,68,54
2012,3547,2230,Beltrami,.6230216,.06424699,,.21000685,92.820969,240.04733,,78.102524,,87,,36,57,,6,,12,44,,60,
2013,3547,2230,Beltrami,.63834822,.07567212,0,.20764814,100.83675,171.173,249.91817,29.439751,1.9976624,87,0,40,53,70.5,6,70.5,22,52,62,69,62
2014,3547,2230,Beltrami,.61563766,.12844019,.042230301,.12098314,98.331818,193.54745,200.65683,17.098516,1.619625,87,.068596035,47,38,35,28,32,29,60,46,64,55
2015,3547,2230,Beltrami,.55329394,.068428077,.0032984321,.14490744,93.387688,178.21933,158.56265,16.589237,1.2729149,87,.0059614461,53,58,57,17,57,21,48,38,65,34
2016,3547,2230,Beltrami,.51961637,.045095861,.016501984,.14294441,90.400139,168.60765,146.36603,24.292927,1.1111965,87,.031758014,56,65,67,24,62,11,13,16,57,15
2017,3547,2230,Beltrami,.51907462,.049938131,.026119111,.16155052,90.113396,332.47626,241.63289,29.962656,1.5741096,87,.050318606,51,62,67,18,64,17,64,69,51,67
2018,3547,2230,Beltrami,.46513167,.051343165,.038828366,.098541796,104.27106,208.00417,139.01295,18.064039,1.0051606,87,.08347822,64,59,62,39,56,31,45,20,69,15
2012,3652,3135,Benton,.61543185,.11675816,,.0090310639,129.86037,206.66479,,40.703285,,87,,38,29,,77,,73,26,,30,
2013,3652,3135,Benton,.66435719,.12538692,.024547659,.015632132,132.04605,197.30544,239.76779,18.910778,1.82947,87,.036949489,35,30,25,67,27,71,63,59,43,57
2014,3652,3135,Benton,.70265412,.14158411,.030293329,.041234754,129.43433,200.7744,228.713,13.033881,1.7235198,87,.043112718,37,33,42,71,40,73,62,64,41,61
2015,3652,3135,Benton,.64282387,.13517666,.053770822,.040792417,128.07301,199.38863,199.56435,13.006777,1.5264118,87,.083647832,41,31,28,73,32,71,64,60,42,64
2016,3652,3135,Benton,.65968817,.18066531,.064136177,.032050341,142.78761,204.7753,192.21242,16.540901,1.3323442,87,.097221963,33,16,36,82,43,74,46,51,39,44
2017,3652,3135,Benton,.61748356,.18046476,.085431509,.028891254,143.85805,216.37959,206.12177,22.198845,1.4543948,87,.1383543,34,24,37,82,42,76,25,61,39,61
2018,3652,3135,Benton,.62701219,.17670201,.083301894,.039683357,157.83315,236.89894,222.84816,12.914234,1.394062,87,.1328553,28,20,28,77,40,75,65,72,44,67
2012,467,393,Big Stone,.53005815,1.1496626e-14,,.095200956,87.521477,377.48422,,61.905067,,87,,52,79,,24,,6,71,,47,
2013,467,393,Big Stone,.5949595,1.1496626e-14,1.1496626e-14,.08471553,90.035278,132.5761,127.50494,15.97442,1.1584533,87,1.9323376e-14,48,79,49,28,49,6,14,7,28,14
2014,467,393,Big Stone,.59716755,1.1496626e-14,1.1496626e-14,.08471553,94.595291,133.25279,129.33662,15.086942,1.1924576,87,1.9251926e-14,49,79,62,47,62,20,10,11,54,18
2015,467,393,Big Stone,.62073928,1.1516730e-14,1.1516730e-14,.091798276,89.510849,134.48741,134.48741,15.251574,1.2547116,87,1.8553249e-14,44,77,66,43,66,12,11,14,57,30
2016,467,393,Big Stone,.59535062,1.1496626e-14,0,.13373996,94.831825,371.15015,560.24097,28.864689,1.5767316,87,0,42,76,83.5,26,83.5,15,79,83,63,61
2017,467,393,Big Stone,.55795246,1.1496626e-14,,.091798276,90.836128,396.11548,,75.482147,,87,,49,76,,52,,19,71,,77,
2018,467,393,Big Stone,.63591528,1.1496626e-14,,.11276912,95.040092,187.90094,,15.253117,,87,,26,76,,34,,14,29,,60,
2012,3985,3033,Blue Earth,.88991404,.23320705,,.16920142,110.87747,151.15738,,32.897255,,87,,6,6,,8,,56,3,,20,
2013,3985,3033,Blue Earth,.89995027,.234593,.007219906,.16724709,117.26051,160.45355,131.36295,13.755829,.99402654,87,.0080225607,8,9,38,9,41,58,39,10,13,2
2014,3985,3033,Blue Earth,.89979202,.27231994,.037691001,.18082389,116.81481,169.84148,164.72809,10.687814,1.2171892,87,.041888569,12,8,38,10,41,60,40,31,21,21
2015,3985,3033,Blue Earth,.8857525,.28196073,.033053316,.18390708,116.62149,165.42123,132.05508,9.8043766,.96894282,87,.03731665,6,6,43,10,49,60,33,11,17,5
2016,3985,3033,Blue Earth,.8268699,.28282183,.024112798,.19964756,124.81315,187.31461,162.20784,10.435064,1.0699739,87,.029161539,8,4,59,7,64,56,26,32,21,8
2017,3985,3033,Blue Earth,.87009436,.36021969,.056973156,.20196886,120.88521,175.73747,166.36761,11.566237,1.1507652,87,.065479286,5,3,54,8,61,61,4,36,21,28
2018,3985,3033,Blue Earth,.8335678,.33549345,.048725933,.21081027,127.8547,194.74619,158.93433,8.6076612,.97629941,87,.058454674,5,4,54,6,67,58,36,40,13,10
2012,1576,1222,Brown,.93788058,.1391149,,.083518274,99.844902,173.88779,,99.977043,,87,,3,24,,30,,32,9,,67,
2013,1576,1222,Brown,.90580875,.14717846,.014228407,.0079877106,111.45506,149.24594,155.65598,28.708391,1.4073442,87,.01570796,7,25,34,76,37,46,22,20,67,31
2014,1576,1222,Brown,.94651777,.14717846,.043918196,.10163707,103.36901,142.46637,127.98373,7.8094215,1.1191471,87,.046399757,10,31,33,42,39,40,16,10,4,11
2015,1576,1222,Brown,.92029977,.1450571,.036503751,.17870906,96.421188,142.63454,130.25266,7.6177526,1.1425401,87,.039665066,4,30,39,12,48,26,16,10,3,15
2016,1576,1222,Brown,.88767636,.15858126,.07473968,.13779414,111.66706,160.41922,131.21072,10.48495,1.090359,87,.084196992,4,25,33,25,48,43,9,7,22,10
2017,1576,1222,Brown,.94350916,.18592201,.094003767,.20125952,97.738274,169.50375,123.24014,9.7099638,1.0237057,87,.099632062,3,21,31,9,49,28,3,10,12,13
2018,1576,1222,Brown,.87269551,.15858126,.069745384,.16116703,108.00591,158.62105,124.69801,7.6989036,.9785791,87,.079919495,3,27,40,12,58,37,8,9,6,11
2012,1833,1346,Carlton,.50132895,.10747224,,.10509999,110.84766,212.34883,,87.431061,,87,,59,37,,18,,55,29,,61,
2013,1833,1346,Carlton,.58165753,.13754836,.038447242,.11845055,114.46964,148.49701,158.60742,26.479704,1.2430314,87,.06609945,50,27,18,15,19,54,20,22,63,18
2014,1833,1346,Carlton,.6644454,.173126,.1158739,.20004371,98.865112,129.47829,116.81297,12.495418,.90066808,87,.1743919,43,20,9,7,12,30,6,4,37,2
2015,1833,1346,Carlton,.62491339,.18027472,.1331718,.18894665,100.45779,139.59865,125.83649,12.765197,.97300249,87,.21310441,43,16,7,8,9,34,13,8,40,6
2016,1833,1346,Carlton,.56805193,.23828153,.27306819,.070496142,126.91384,152.81517,159.17436,14.698458,1.1801817,87,.48070991,45,11,2,55,1,58,7,29,35,26
2017,1833,1346,Carlton,.60699266,.26258829,.2723771,.11985051,119.25127,203.17616,175.44171,19.310688,1.2432671,87,.44873211,35,9,1,34,1,60,17,45,33,41
2018,1833,1346,Carlton,.53375155,.15864824,.13548774,.1476047,102.12563,161.19658,153.82579,10.827525,1.0993046,87,.25384045,43,26,13,19,15,24,11,32,31,34
2012,6403,4796,Carver,.48343372,.23082836,,.0030655414,194.98212,245.62079,,25.901443,,87,,65,8,,81,,84,47,,18,
2013,6403,4796,Carver,.50009531,.25156206,.09499339,.0030418378,203.07722,256.62949,262.00607,20.569286,1.363125,87,.18995057,65,5,9,80,7,85,81,68,49,26
2014,6403,4796,Carver,.55001152,.30540365,.097588584,.020636145,195.9814,244.53317,268.25269,10.199839,1.4073225,87,.17743008,59,4,15,82,11,83,78,75,18,38
2015,6403,4796,Carver,.55150956,.32738537,.1379158,.020937305,202.52658,247.82153,270.17773,9.8316584,1.3994526,87,.25006965,54,2,4,85,5,83,76,79,18,49
2016,6403,4796,Carver,.53480226,.33670124,.15213379,.020929519,214.59308,260.9873,269.02686,9.8674984,1.3004247,87,.28446737,53,2,9,86,7,85,66,72,18,39
2017,6403,4796,Carver,.58965176,.40838966,.17853065,.020822603,213.3945,253.0835,252.70065,9.9440346,1.2245109,87,.30277303,39,2,7,86,11,85,43,71,13,38
2018,6403,4796,Carver,.5551936,.37888706,.14735201,.026736123,232.57683,282.75336,286.11972,8.8683939,1.2300646,87,.26540655,39,3,10,83,12,84,74,77,16,51
2012,3547,2230,Cass,.48294595,.036755566,,.20965435,96.86924,344.23752,,71.136475,,87,,66,64,,7,,22,67,,54,
2013,3547,2230,Cass,.50816506,.03839108,.0059109968,.19833159,103.74567,161.37502,202.46707,29.02718,1.6090386,87,.011632041,62,65,40,7,38,27,41,41,68,45
2014,3547,2230,Cass,.7832045,.2686685,.25029165,.1461364,104.56258,219.01851,217.38251,23.435719,1.6973522,87,.31957382,23,10,1,14,1,44,70,57,79,59
2015,3547,2230,Cass,.5003221,.046028387,.034863263,.1529121,100.7977,191.98085,174.60175,23.358286,1.335749,87,.069681637,67,64,40,16,38,35,58,50,79,40
2016,3547,2230,Cass,.44878897,.026003823,.091631055,.17201717,100.18203,184.40897,154.57832,47.878124,1.1110984,87,.20417404,74,70,26,12,21,22,24,26,79,14
2017,3547,2230,Cass,.44786403,.03605013,.096558906,.19349372,90.527702,384.2016,218.30077,53.572803,1.3262905,87,.2155987,74,68,29,11,23,18,69,66,69,50
2018,3547,2230,Cass,.38268426,.086271085,.10544557,.11458997,108.98296,204.25104,155.99255,23.103807,1.1386771,87,.27554196,80,47,18,32,11,40,42,35,80,40
2012,746,589,Chippewa,.66497433,.084474474,,.086914606,88.211578,182.23247,,19.018106,,87,,32,48,,28,,7,11,,11,
2013,746,589,Chippewa,.65041602,.084474474,.014090008,.085184999,87.612968,90.83448,105.41986,13.615007,1.0109102,87,.02166307,37,49,35,27,35,4,1,1,11,3
2014,746,589,Chippewa,.7271589,.084474474,.049023673,.12834348,88.254951,113.20399,119.85265,13.122483,1.0964768,87,.067418098,33,54,30,25,33,11,3,7,42,8
2015,746,589,Chippewa,.65006435,.10715707,.05762431,.05394569,103.23401,115.77747,108.01589,15.875443,.96449137,87,.088644013,40,39,27,64,29,39,3,2,63,4
2016,746,589,Chippewa,.63787484,.084474474,.046636324,.099626169,95.288254,100.20993,127.95827,16.51895,1.1177113,87,.073112033,36,49,49,43,52,16,3,4,38,16
2017,746,589,Chippewa,.60527003,.10715997,.027169449,.11035623,94.577721,192.75439,126.02464,33.988823,1.1228774,87,.044888146,36,46,66,38,66,24,10,12,54,22
2018,746,589,Chippewa,.51838815,.093069963,.12865193,.062616125,120.37087,216.73576,214.978,32.986954,1.814374,87,.24817684,47,46,14,62,16,53,56,71,85,81
2012,3387,2386,Chisago,.4313547,.13059123,,4.4653584e-06,146.63786,222.71114,,75.049446,,87,,75,25,,83,,78,35,,57,
2013,3387,2386,Chisago,.45984524,.13735007,.050103821,4.4653584e-06,149.0827,205.00398,216.55124,42.717438,1.5420842,87,.10895801,74,28,14,82,12,78,70,50,75,40
2014,3387,2386,Chisago,.50680029,.14128321,.050913256,.040611856,141.63832,205.37033,211.97052,11.874584,1.4449806,87,.10046019,73,34,27,73,24,76,65,54,33,46
2015,3387,2386,Chisago,.45435637,.12816641,.048649181,.040640589,143.06735,216.91078,228.53639,11.877884,1.5462575,87,.10707274,79,32,33,74,22,76,69,73,35,67
2016,3387,2386,Chisago,.40682802,.12712599,.040248405,.040703394,147.63229,224.49347,225.18018,13.942252,1.4262525,87,.098932236,83,34,53,74,42,76,55,63,32,53
2017,3387,2386,Chisago,.46979252,.13717051,.054045551,.10520382,130.82782,236.06297,169.63815,14.608056,1.1199007,87,.11504132,65,35,55,42,46,70,37,40,28,21
2018,3387,2386,Chisago,.41317183,.157049,.054381855,.040437415,155.09477,237.30708,176.38263,11.898756,1.0369791,87,.13162044,76,28,50,75,41,74,66,54,38,19
2012,4059,3343,Clay,.61677438,.16109948,,.033571586,124.32535,216.31322,,47.958736,,87,,37,19,,57,,68,32,,37,
2013,4059,3343,Clay,.65328503,.16109948,.016283436,.057525262,124.23691,174.7791,137.22563,14.603787,1.0333545,87,.024925468,36,20,32,39,34,63,53,11,18,5
2014,4059,3343,Clay,.63097459,.17133528,.03128963,.042954784,127.3046,177.14571,152.31737,13.172125,1.1357354,87,.049589366,46,22,41,70,38,71,49,22,43,12
2015,4059,3343,Clay,.59448671,.1712126,.029555585,.0369922,133.58862,188.03027,174.5545,13.388988,1.2594668,87,.049716141,46,21,45,77,44,74,55,49,46,31
2016,4059,3343,Clay,.5566287,.15870541,.0583754,.039286569,138.87421,198.50983,173.0434,13.161944,1.1951511,87,.10487314,47,24,41,75,39,71,37,41,27,27
2017,4059,3343,Clay,.57605726,.18252681,.095417038,.048844848,135.72377,251.37762,173.14908,24.537846,1.1919451,87,.16563812,44,22,30,77,32,72,42,44,43,35
2018,4059,3343,Clay,.54281384,.17230499,.083140776,.040310659,148.35156,214.37755,168.08321,9.9714499,1.0641192,87,.15316628,40,21,29,76,31,72,50,47,23,26
2012,558,365,Clearwater,.36526975,0,,.11533539,86.549927,558.05267,,57.250031,,87,,81,83.5,,15,,5,81,,43,
2013,558,365,Clearwater,.3773348,0,.010550781,.11533539,86.747688,193.92703,185.2674,19.71352,1.6406089,87,.027961325,83,83.5,36,17,33,3,61,32,48,47
2014,558,365,Clearwater,.5278874,0,.055134721,.15395166,93.20565,199.22034,166.47655,18.006128,1.4316857,87,.10444409,68,83.5,23,12,22,16,61,35,69,41
2015,558,365,Clearwater,.56475788,0,.049869973,.15780053,92.20295,199.23514,149.91397,17.890369,1.2878525,87,.088303283,49,82.5,31,15,30,16,63,31,69,35
2016,558,365,Clearwater,.46350077,0,.091395915,.09770377,108.32331,201.36807,130.28513,65.461357,.95119208,87,.19718611,71,82,27,45,22,34,42,6,82,2
2017,558,365,Clearwater,.4567683,0,.045079544,.10758699,99.316254,610.11609,338.2674,83.721191,2.8294082,87,.098692365,72,82,58,40,50,32,82,80,81,81
2018,558,365,Clearwater,.44391039,0,.19309869,.0670399,108.90651,253.11897,147.92316,19.413374,.72321266,87,.43499476,68,82,4,59,2,39,70,26,74,1
2012,244,180,Cook,.62993127,.11505498,,.14165734,107.52191,657.12384,,61.088238,,87,,35,31,,12,,45,82,,45,
2013,244,180,Cook,.62227398,.11505498,0,0,144.79413,158.34021,415.97528,229.18796,3.0284319,87,0,43,34,70.5,87,70.5,75,34,86,87,82
2014,244,180,Cook,.98188901,.11505498,0,.14314832,123.84949,213.04135,385.30908,32.538261,2.6629653,87,0,4,41,76.5,16,76.5,69,69,87,82,86
2015,244,180,Cook,1.0479441,.11663926,0,.14314832,113.71439,152.82483,377.41461,32.538261,3.0140698,87,0,2,36,79.5,19,79.5,56,23,87,85,87
2016,244,180,Cook,.8748315,.069032989,.2227166,.14314832,110.4827,399.57339,246.49269,101.4134,2.5259748,87,.25458229,5,57,3,22,12,39,81,66,86,77
2017,244,180,Cook,.70928741,.069032989,.20666559,.14314832,124.28538,589.48248,305.3284,227.04298,2.4960399,87,.29137072,16,57,2,25,13,64,81,78,87,78
2018,244,180,Cook,1.1417999,.60581881,.22044329,.14314832,162.52768,223.31871,176.10725,32.538261,.99082083,87,.19306648,2,1,1,21,19,77,60,53,84,13
2012,1053,893,Cottonwood,.49373886,.03421938,,.048270032,95.321907,237.14827,,54.087692,,87,,60,66,,47,,18,43,,42,
2013,1053,893,Cottonwood,.50692821,.03421938,0,.048270032,100.27444,123.27447,259.86664,14.103905,2.378695,87,0,64,67,70.5,45,70.5,20,8,66,15,78
2014,1053,893,Cottonwood,.54348737,.03421938,0,.092007428,95.810356,117.51856,148.7191,11.347468,1.3585767,87,0,62,69,76.5,44,76.5,24,4,21,28,30
2015,1053,893,Cottonwood,.56463033,.045248568,0,.092007428,92.784966,114.13471,133.29901,11.588778,1.2478197,87,0,50,65,79.5,42,79.5,19,2,13,33,28
2016,1053,893,Cottonwood,.51606774,.03421938,.043135695,.080241762,81.714432,247.96457,214.99702,17.336636,4.5427446,87,.083585337,58,68,50,50,49,6,62,58,41,82
2017,1053,893,Cottonwood,.49861041,.045248568,.089198537,.1193721,83.030014,181.29147,126.39581,43.047745,1.1551753,87,.17889425,59,65,32,35,26,8,5,13,63,31
2018,1053,893,Cottonwood,.49587077,.042774223,.087676041,.088231146,93.391083,108.97717,107.71799,14.77208,.93480134,87,.17681228,55,63,23,43,21,11,1,2,57,6
2012,4073,2943,Crow Wing,.50758684,.12413579,,.047012147,121.08829,200.56537,,45.739227,,87,,57,26,,49,,63,25,,34,
2013,4073,2943,Crow Wing,.56547266,.14845891,9.6027210e-15,.043191481,125.76528,152.42046,181.12347,19.255661,1.3697355,87,1.6981760e-14,54,24,51,48,51,64,23,30,45,28
2014,4073,2943,Crow Wing,.59629446,.17995712,.0082443878,.070199765,123.56911,160.39635,156.91492,15.768521,1.1664453,87,.013826034,50,18,50,57,49,68,30,24,61,15
2015,4073,2943,Crow Wing,.56396157,.17795108,.044258222,.07182344,125.34267,167.7657,156.49561,15.754431,1.1561023,87,.078477375,51,17,35,54,34,67,37,36,61,18
2016,4073,2943,Crow Wing,.48171291,.16152732,.048342746,.057320826,130.44902,161.80943,150.17511,34.113621,1.0980104,87,.10035593,67,21,47,64,41,66,11,20,70,13
2017,4073,2943,Crow Wing,.50508064,.19916497,.11015451,.065782502,126.77359,222.9586,206.17529,37.633877,1.5032295,87,.21809292,56,18,22,65,21,69,32,62,59,65
2018,4073,2943,Crow Wing,.50682533,.18980752,.1179195,.073609062,131.44342,179.98199,158.22903,15.707529,1.098966,87,.23266301,51,17,16,52,17,66,22,38,63,33
2012,26474,20503,Dakota,.58447027,.27166882,,.0074837701,201.18448,252.81328,,16.425701,,87,,43,3,,78,,86,50,,6,
2013,26474,20503,Dakota,.57864624,.28499642,.11863822,.0066786939,208.02568,257.78079,279.89264,13.687115,1.4599397,87,.20502721,51,2,3,79,6,86,82,73,12,35
2014,26474,20503,Dakota,.58748788,.29372433,.1331377,.020489821,207.77759,262.8194,277.50967,8.4182472,1.4344357,87,.22662205,52,5,6,83,6,86,84,81,8,42
2015,26474,20503,Dakota,.55622625,.28909084,.13695398,.019375905,214.05338,267.89474,281.75534,8.1702604,1.4119818,87,.24621992,52,5,5,86,6,86,82,83,8,53
2016,26474,20503,Dakota,.57078898,.3175838,.14063166,.033814326,221.06488,276.92398,285.82922,8.0885735,1.3449348,87,.24638118,44,3,11,80,13,86,71,76,7,46
2017,26474,20503,Dakota,.58605933,.32962894,.15996161,.054082811,214.00789,271.24774,279.53986,7.9889922,1.3166119,87,.27294439,41,5,13,74,15,86,53,76,5,48
2018,26474,20503,Dakota,.53877854,.33195743,.15805109,.021918036,250.8596,306.58765,316.10614,8.3773966,1.3478591,87,.29335076,41,5,6,86,8,86,82,80,12,64
2012,1549,1049,Dodge,.69939882,.097266644,,.040645365,122.71103,226.48686,,32.740894,,87,,25,43,,54,,66,37,,19,
2013,1549,1049,Dodge,.76128387,.097266644,.00020216216,.040645365,123.97514,202.82664,182.80174,16.142454,1.4449574,87,.00026555423,24,44,42,50,43,62,68,31,30,34
2014,1549,1049,Dodge,.76701546,.097266644,.0002996212,.071616113,121.65401,202.65332,184.08188,11.663922,1.4367172,87,.00039063254,26,50,54,55,54,66,64,40,30,44
2015,1549,1049,Dodge,.74646246,.10347938,.00029962166,.062287316,126.67679,200.78574,189.92998,15.225819,1.4555217,87,.0004013888,25,41,59,58,59,70,66,59,56,58
2016,1549,1049,Dodge,.67474771,.10909022,.00042288392,.054857537,133.30499,171.23775,169.69157,28.258066,1.2098835,87,.00062672893,30,40,71,66,71,67,14,39,62,29
2017,1549,1049,Dodge,.62481517,.073893435,.0005815184,.07483916,126.29469,242.6577,177.28635,18.202223,1.2477821,87,.0009307047,33,54,75,60,75,67,41,46,32,42
2018,1549,1049,Dodge,.58583391,.073702559,.0079050651,.074823365,131.62941,216.61714,184.76245,11.711975,1.270618,87,.013493697,32,53,73,51,73,67,55,60,37,57
2012,2266,1906,Douglas,.88188052,.10932368,,.06742458,108.57047,184.70061,,33.915031,,87,,7,35,,36,,49,13,,22,
2013,2266,1906,Douglas,1.0081204,.13698055,0,.12049124,108.37953,168.30861,202.46678,14.834942,1.6959232,87,0,4,29,70.5,14,70.5,37,47,40,19,51
2014,2266,1906,Douglas,1.0046021,.1344023,.010267626,.10999504,110.80444,169.0584,144.59427,13.470632,1.2218937,87,.010220591,3,36,49,35,51,52,39,19,45,22
2015,2266,1906,Douglas,.8705768,.10984238,.015031533,.093820922,112.20073,171.42963,138.78117,13.429749,1.1554925,87,.017266177,8,37,53,39,54,54,39,20,47,17
2016,2266,1906,Douglas,.84653705,.12283695,.01751565,.081107974,122.8379,210.26195,201.61554,25.299181,1.5561066,87,.020690942,7,36,65,49,68,51,49,54,58,59
2017,2266,1906,Douglas,.78826123,.14434101,.12397297,.10360244,117.51263,226.55362,163.34949,26.154984,1.3214196,87,.15727398,9,31,20,43,37,56,34,33,45,49
2018,2266,1906,Douglas,.68932438,.12581925,.10335349,.058942165,129.41182,184.58745,185.10089,12.894831,1.4132411,87,.14993447,15,35,19,65,33,63,27,61,43,72
2012,3985,3033,Faribault,.60214019,.12311078,,.10012928,101.35226,151.75731,,69.98764,,87,,42,27,,21,,36,4,,52,
2013,3985,3033,Faribault,.6093694,.12311078,0,.10012928,98.928154,132.87895,237.37599,19.693449,2.157752,87,0,45,31,70.5,22,70.5,18,15,57,47,72
2014,3985,3033,Faribault,.68465596,.14398655,.020875774,.11279085,103.37242,145.85356,210.91867,19.006001,1.8865423,87,.030490898,39,32,44,34,45,41,19,53,74,68
2015,3985,3033,Faribault,.72302127,.18590179,.13382867,.095752552,104.46276,139.21069,172.38298,19.100662,1.6001143,87,.18509644,29,13,6,38,11,42,12,48,75,70
2016,3985,3033,Faribault,.71823657,.19415151,.12682281,.11628411,128.75644,203.46495,178.91472,36.785362,1.3246255,87,.17657527,21,14,15,32,25,63,44,42,71,43
2017,3985,3033,Faribault,.68602729,.21962976,.17804959,.11628411,110.11956,216.44887,167.47029,50.771553,1.4170622,87,.25953719,20,15,8,36,18,46,26,37,68,58
2018,3985,3033,Faribault,.69456673,.11261907,.086396046,.19961378,99.623802,156.21454,161.9706,18.116039,1.4262906,87,.1243884,14,39,25,7,44,19,7,44,70,73
2012,1838,1276,Fillmore,.9571026,.15838957,,.32228103,106.1595,251.09607,,96.194954,,87,,2,20,,3,,42,49,,64,
2013,1838,1276,Fillmore,.95107567,.17103581,0,.32145506,106.55755,191.26224,294.52643,40.011475,2.5072949,87,0,5,17,70.5,4,70.5,33,60,78,74,79
2014,1838,1276,Fillmore,.94724053,.17103581,0,.38794312,95.187996,171.42767,243.17328,20.656742,2.0762153,87,0,9,23,76.5,4,76.5,21,42,70,76,73
2015,1838,1276,Fillmore,.66205329,.17066571,8.7746054e-16,.10138016,103.88097,163.35133,200.48392,20.643169,1.7186167,87,1.3253624e-15,36,22,69,35,69,40,29,61,76,76
2016,1838,1276,Fillmore,.67625719,.22998069,2.7704120e-15,.10138015,129.56334,217.3992,247.46425,42.34766,1.8970386,87,4.0966842e-15,29,12,78,42,78,65,52,67,77,70
2017,1838,1276,Fillmore,.59184873,.22282825,.028194837,.10138018,108.40228,258.23856,134.61763,76.252342,1.15465,87,.047638588,38,14,64,46,65,44,44,20,79,29
2018,1838,1276,Fillmore,.68483007,.29542643,.054358758,.10138018,107.67774,191.59991,142.67847,20.627228,1.1757269,87,.079375543,16,6,51,36,59,36,32,22,75,45
2012,1742,1294,Freeborn,.45988014,.091437638,,.049813394,109.18814,218.58868,,49.210526,,87,,69,47,,46,,50,33,,39,
